Siparis_ID,Siparis_Tarihi,Sevk_Tarihi,Musteri_ID,Musteri_Ismi,Segment,Bolge,Sehir,Ilce,Urun_ID,Kategori,Alt_Kategori,Urun_Adi,Satis,Kar
TU-2020-CS2460134-40919,11/01/2020,15/01/2020,CS-2460134,Chuck Sachs,Tüketici,Marmara,Bursa,İnegöl,FUR-BO-5777,Mobilya,Kitaplık,Safco Floating Shelf Set. Metal,0,0
TU-2019-CS2460134-40919,11/01/2019,15/01/2019,CS-2460134,Chuck Sachs,Tüketici,Marmara,Bursa,İnegöl,FUR-BO-5777,Mobilya,Kitaplık,Safco Floating Shelf Set. Metal,156.96,-17.72
TU-2019-BD1725134-40922,14/01/2019,18/01/2019,BD-1725134,Bruce Degenhardt,Tüketici,GD Anadolu,Gaziantep,Nizip,OFF-ST-4257,Ofis Malzemeleri,Depolama,Fellowes File Cart. Blue,109.85,-5.97
TU-2019-BD1725134-40922,14/01/2019,18/01/2019,BD-1725134,Bruce Degenhardt,Tüketici,GD Anadolu,Gaziantep,Nizip,OFF-ST-6046,Ofis Malzemeleri,Depolama,Smead Lockers. Blue,79.37,8.33
TU-2019-BD1725134-40922,14/01/2019,18/01/2019,BD-1725134,Bruce Degenhardt,Tüketici,GD Anadolu,Gaziantep,Nizip,OFF-SU-3001,Ofis Malzemeleri,Sarf Malzemesi,Acme Trimmer. Easy Grip,73.92,7.32
TU-2019-BD1725134-40922,14/01/2019,18/01/2019,BD-1725134,Bruce Degenhardt,Tüketici,GD Anadolu,Gaziantep,Nizip,OFF-AR-6105,Ofis Malzemeleri,Sanat,Stanley Canvas. Blue,79.15,10.32
TU-2019-BM1575134-40930,22/01/2019,27/01/2019,BM-1575134,Brendan Murry,Kurumsal,Marmara,Bursa,Orhangazi,FUR-FU-3025,Mobilya,Mobilya,Advantus Clock. Durable,77.47,4.69
TU-2019-JM5250134-40932,24/01/2019,28/01/2019,JM-5250134,Janet Martin,Tüketici,Ege,Afyonkarahisar,Merkez,OFF-FA-5462,Ofis Malzemeleri,Sabitleyici,OIC Clamps. 12 Pack,15.36,2.84
TU-2019-JF5355134-40934,26/01/2019,31/01/2019,JF-5355134,Jay Fein,Tüketici,Ege,İzmir,Bornova,FUR-CH-5773,Mobilya,Sandalye,SAFCO Executive Leather Armchair. Adjustable,832.41,175.35
TU-2019-JF5355134-40934,26/01/2019,31/01/2019,JF-5355134,Jay Fein,Tüketici,Ege,İzmir,Bornova,OFF-ST-6047,Ofis Malzemeleri,Depolama,Smead Lockers. Industrial,318.24,54.64
TU-2019-JF5355134-40934,26/01/2019,31/01/2019,JF-5355134,Jay Fein,Tüketici,Ege,İzmir,Bornova,OFF-AP-4492,Ofis Malzemeleri,Araç Gereç,Hamilton Beach Blender. White,114.86,8.98
TU-2019-JF5355134-40934,26/01/2019,31/01/2019,JF-5355134,Jay Fein,Tüketici,Ege,İzmir,Bornova,FUR-CH-5406,Mobilya,Sandalye,Novimex Steel Folding Chair. Adjustable,33.89,8.98
TU-2019-AW840134-40944,05/02/2019,12/02/2019,AW-840134,Anthony Witt,Tüketici,GD Anadolu,Gaziantep,Nizip,FUR-CH-4525,Mobilya,Sandalye,Harbour Creations Chairmat. Set of Two,59.40,6.84
TU-2019-AW840134-40944,05/02/2019,12/02/2019,AW-840134,Anthony Witt,Tüketici,GD Anadolu,Gaziantep,Nizip,OFF-ST-6059,Ofis Malzemeleri,Depolama,Smead Shelving. Single Width,19.58,3.36
TU-2019-AW840134-40944,05/02/2019,12/02/2019,AW-840134,Anthony Witt,Tüketici,GD Anadolu,Gaziantep,Nizip,FUR-FU-3036,Mobilya,Mobilya,Advantus Light Bulb. Black,8.03,2.62
TU-2019-AG495134-40961,22/02/2019,24/02/2019,AG-495134,Andrew Gjertsen,Kurumsal,Ege,İzmir,Torbalı,OFF-ST-5709,Ofis Malzemeleri,Depolama,Rogers Trays. Blue,24.67,8.53
TU-2019-AG495134-40961,22/02/2019,24/02/2019,AG-495134,Andrew Gjertsen,Kurumsal,Ege,İzmir,Torbalı,OFF-PA-4006,Ofis Malzemeleri,Kağıt,Eaton Parchment Paper. Multicolor,5.95,1.66
TU-2019-PW9240134-40971,03/03/2019,08/03/2019,PW-9240134,Pierre Wener,Tüketici,Marmara,İstanbul,Kartal,TEC-MA-5576,Teknoloji,Makine,Panasonic Receipt Printer. Red,94.44,25.98
TU-2019-BC1125134-40977,09/03/2019,15/03/2019,BC-1125134,Becky Castell,Ev-Ofis,İç Anadolu,Ankara,Çankaya,TEC-PH-5271,Teknoloji,Telefon,Motorola Speaker Phone. Full Size,52.43,6.24
TU-2019-BC1125134-40977,09/03/2019,15/03/2019,BC-1125134,Becky Castell,Ev-Ofis,İç Anadolu,Ankara,Çankaya,OFF-AR-5918,Ofis Malzemeleri,Sanat,Sanford Markers. Easy-Erase,37.63,4.65
TU-2019-AJ960134-40990,22/03/2019,28/03/2019,AJ-960134,Astrea Jones,Tüketici,Ege,İzmir,Torbalı,FUR-BO-3889,Mobilya,Kitaplık,Dania Classic Bookcase. Metal,164.09,-110.77
TU-2019-AJ960134-40990,22/03/2019,28/03/2019,AJ-960134,Astrea Jones,Tüketici,Ege,İzmir,Torbalı,OFF-LA-3297,Ofis Malzemeleri,Etiket,Avery Legal Exhibit Labels. 5000 Label Set,9.38,2.34
TU-2019-AJ960134-40990,22/03/2019,28/03/2019,AJ-960134,Astrea Jones,Tüketici,Ege,İzmir,Torbalı,OFF-ST-5686,Ofis Malzemeleri,Depolama,Rogers Box. Blue,19.18,2.86
TU-2019-JP5460134-40998,30/03/2019,03/04/2019,JP-5460134,Jennifer Patt,Kurumsal,Marmara,Çanakkale,Çan,FUR-CH-5457,Mobilya,Sandalye,Office Star Swivel Stool. Set of Two,140.95,-10.77
TU-2019-BT1440134-41002,03/04/2019,08/04/2019,BT-1440134,Bobby Trafton,Tüketici,İç Anadolu,Kayseri,Melikgazi,OFF-AR-6111,Ofis Malzemeleri,Sanat,Stanley Highlighters. Easy-Erase,35.93,2.67
TU-2019-VF11715134-41013,14/04/2019,17/04/2019,VF-11715134,Vicky Freymann,Ev-Ofis,Marmara,İstanbul,Silivri,OFF-SU-2968,Ofis Malzemeleri,Sarf Malzemesi,Acme Box Cutter. Steel,14.88,-2.30
TU-2019-SL10155134-41018,19/04/2019,21/04/2019,SL-10155134,Sara Luxemburg,Ev-Ofis,İç Anadolu,Ankara,Polatli,OFF-AR-3468,Ofis Malzemeleri,Sanat,BIC Sketch Pad. Blue,19.46,2.47
TU-2019-SL10155134-41018,19/04/2019,21/04/2019,SL-10155134,Sara Luxemburg,Ev-Ofis,İç Anadolu,Ankara,Polatli,OFF-ST-6024,Ofis Malzemeleri,Depolama,Smead Box. Industrial,4.50,1.85
TU-2019-MB8085134-41021,22/04/2019,22/04/2019,MB-8085134,Mick Brown,Tüketici,Marmara,Balıkesir,Bandırma,OFF-EN-4906,Ofis Malzemeleri,Zarf,Jiffy Clasp Envelope. Recycled,5.86,-1.64
TU-2019-AJ960134-41022,23/04/2019,28/04/2019,AJ-960134,Astrea Jones,Tüketici,Ege,İzmir,Bornova,OFF-SU-2980,Ofis Malzemeleri,Sarf Malzemesi,Acme Letter Opener. Steel,165.82,9.04
TU-2019-JS5940134-41023,24/04/2019,26/04/2019,JS-5940134,Joni Sundaresam,Ev-Ofis,Marmara,İstanbul,Esenyurt,OFF-ST-4055,Ofis Malzemeleri,Depolama,Eldon File Cart. Blue,50.78,3.66
TU-2019-JS5940134-41023,24/04/2019,26/04/2019,JS-5940134,Joni Sundaresam,Ev-Ofis,Marmara,İstanbul,Esenyurt,OFF-BI-4816,Ofis Malzemeleri,Cilt,Ibico Binding Machine. Durable,42.34,-14.84
TU-2019-JS5940134-41023,24/04/2019,26/04/2019,JS-5940134,Joni Sundaresam,Ev-Ofis,Marmara,İstanbul,Esenyurt,OFF-ST-4108,Ofis Malzemeleri,Depolama,Eldon Trays. Wire Frame,18.82,-9.89
TU-2019-PA9060134-41023,24/04/2019,29/04/2019,PA-9060134,Pete Armstrong,Ev-Ofis,İç Anadolu,Sivas,Zara,FUR-CH-4633,Mobilya,Sandalye,Hon Chairmat. Set of Two,46.22,-3.96
TU-2019-PA9060134-41023,24/04/2019,29/04/2019,PA-9060134,Pete Armstrong,Ev-Ofis,İç Anadolu,Sivas,Zara,OFF-EN-3088,Ofis Malzemeleri,Zarf,Ames Business Envelopes. Recycled,5.38,1.96
TU-2019-PA9060134-41023,24/04/2019,29/04/2019,PA-9060134,Pete Armstrong,Ev-Ofis,İç Anadolu,Sivas,Zara,OFF-AR-6110,Ofis Malzemeleri,Sanat,Stanley Highlighters. Blue,11.76,-2.34
TU-2019-LC6960134-41024,25/04/2019,28/04/2019,LC-6960134,Lindsay Castell,Ev-Ofis,İç Anadolu,Ankara,Yenimahalle,TEC-AC-5896,Teknoloji,Aksesuar,SanDisk Router. Programmable,412.56,32.04
TU-2019-LB6795134-41034,05/05/2019,11/05/2019,LB-6795134,Laurel Beltran,Ev-Ofis,Akdeniz,Adana,Ceyhan,OFF-PA-4477,Ofis Malzemeleri,Kağıt,Green Bar Message Books. Recycled,18.96,1.40
